Country,Total_Attacks,Attack_Time
Colombia ,4740,Pre 9/11
Peru,3967,Pre 9/11
El Salvador,1884,Pre 9/11
United Kingdom,1925,Pre 9/11
India,3148,Pre 9/11
Spain,1299,Pre 9/11
Turkey,1925,Pre 9/11
United States ,593,Pre 9/11
France,1229,Pre 9/11
Chile,1206,Pre 9/11
Iraq,149,Pre 9/11
Afghanistan,148,Pre 9/11
Pakistan,1879,Pre 9/11
Philippines,1734,Pre 9/11
Somalia,170,Pre 9/11
Nigeria,87,Pre 9/11
Thailand,168,Pre 9/11
Yemen,124,Pre 9/11
Libya,6,Pre 9/11
Colombia ,1759,Post 9/11
Peru,67,Post 9/11
El Salvador,0,Post 9/11
United Kingdom,906,Post 9/11
India,8504,Post 9/11
Spain,230,Post 9/11
Turkey,1749,Post 9/11
United States ,402,Post 9/11
France,395,Post 9/11
Chile,90,Post 9/11
Iraq,24462,Post 9/11
Afghanistan,12579,Post 9/11
Pakistan,12449,Post 9/11
Philippines,4738,Post 9/11
Somalia,3959,Post 9/11
Nigeria,3815,Post 9/11
Thailand,3605,Post 9/11
Yemen,3223,Post 9/11
Libya,2235,Post 9/11